NOU165188779,Gold,Babatunde,"ENG:A1,MTH:B2",,,,,,,,
NOU165187781,Shade,Tari,"ENG:A1,MTH:B2",,,,,,,,
NOU165186783,Umana,Ugochukwu,"ENG:A1,MTH:B2",,,,,,,,
NOU165185785,Odum,Chidinma,"ENG:A1,MTH:d7",,,,,,,,
NOU165184787,Dare,Ayomide,"ENG:A1,MTH:B2",,,,,,,,
NOU165183789,Bose,Ayomide,"ENG:A1,MTH:B2",,,,,,,,
NOU165182791,Funke,Ikechukwu,"ENG:A1,MTH:B2",,,,,,,,
NOU165180795,Handel,Chukwuemeka,"ENG:A1,MTH:d8",,,,,,,,
NOU165179797,Sola,Tomi,"ENG:A1,MTH:B2",,,,,,,,
NOU165178799,Okafor,Oluwafemi,"ENG:A1,MTH:B2",,,,,,,,
NOU165177801,Ore,Ngozi,"ENG:A1,MTH:B2",,,,,,,,
NOU165176803,Ajayi,Adanna,"ENG:A1,MTH:d9",,,,,,,,
NOU165175805,Tope,Olajuwon,"ENG:A1,MTH:B2",,,,,,,,
NOU165174807,Ike,Chinyere,"ENG:A1,MTH:B2",,,,,,,,
NOU165173809,Obi,Obinna,"ENG:A1,MTH:B2",,,,,,,,
NOU165172811,Ojo,Chika,"ENG:A1,MTH:d10",,,,,,,,
NOU165171813,Okoro,Nnamdi,"ENG:A1,MTH:B2",,,,,,,,
NOU165170815,Lawal,Chidera,"ENG:A1,MTH:B2",,,,,,,,
NOU165169817,Balogun,Folasade,"ENG:A1,MTH:B2",,,,,,,,
NOU165168819,Okon,Deola,"ENG:A1,MTH:d11",,,,,Coker,23.3k,,
NOU165167821,Toye,Juwon,"ENG:A1,MTH:B2",,,,,#2,-,Gold,18.7k
NOU165166823,Awe,Oluwaseun,"ENG:A1,MTH:B2",,,,,#3,-,Shade,7.1k
NOU165165825,Lade,Oluwatobiloba,"ENG:A1,MTH:B2",,,,,#4,,Umana,6.4k
NOU165164827,Njoku,Adeola,"ENG:A1,MTH:d12",,,,,#5,-,Odum,4.4k
NOU165163829,Okonkwo,Tobi,"ENG:A1,MTH:B2",,,,,#6,-,Dare,3.5k
NOU165162831,Nwankwo,Abayomi,"ENG:A1,MTH:B2",,,,,#7,,Bose,3.4k
NOU165161833,Nwachukwu,Shade,"ENG:A1,MTH:B2",,,,,#8,-,Funke,2.6k
